age,d13Ca_2p5,d13Ca_25,d13Ca_50,d13Ca_75,d13Ca_97p5
0.049863,-7.667098195,-7.35011763,-7.185716543,-6.988472373,-6.621237201
0.149863,-7.72296711,-7.400710699,-7.240621218,-7.049956801,-6.677840663
0.249863,-7.791437534,-7.488286867,-7.326313832,-7.140659046,-6.778856538
0.349863,-7.71130945,-7.420889387,-7.258279593,-7.067150078,-6.709689805
0.449863,-7.709009634,-7.398847496,-7.236995189,-7.055778766,-6.698992725
0.549863,-7.728726088,-7.419789213,-7.262995416,-7.073319705,-6.722779663
0.649863,-7.78061113,-7.487415527,-7.331178892,-7.147581089,-6.776021048
0.749863,-7.801151998,-7.498571732,-7.335621391,-7.149798707,-6.778601798
0.849863,-7.803999847,-7.509375573,-7.349474895,-7.161447753,-6.811312065
0.949863,-7.726140952,-7.411418911,-7.252030041,-7.062848228,-6.706666194
1.049863,-7.643606744,-7.332643397,-7.173234939,-6.987868946,-6.635044562
1.149863,-7.603074399,-7.299602376,-7.139695181,-6.952800076,-6.595592585
1.249863,-7.587084011,-7.285939807,-7.131495715,-6.942018166,-6.580422769
1.349863,-7.520032034,-7.22268863,-7.064697773,-6.87396,-6.506416318
1.449863,-7.508844331,-7.210905651,-7.048084589,-6.86269104,-6.492741978
1.549863,-7.468963065,-7.16212036,-7.006299457,-6.819621943,-6.445901835
1.649863,-7.430024061,-7.120851298,-6.963661663,-6.77869477,-6.421939767
1.749863,-7.482410216,-7.174144119,-7.017998805,-6.831520486,-6.474059765
1.849863,-7.464464856,-7.140658402,-6.979531102,-6.796009182,-6.423535736
1.949863,-7.457975292,-7.137203731,-6.978572557,-6.797324758,-6.430031878
2.049863,-7.400192625,-7.08891184,-6.933776324,-6.751513061,-6.381465734
2.149863,-7.41252911,-7.103705393,-6.942540117,-6.75962119,-6.396611655
2.249863,-7.43591867,-7.117826646,-6.964086355,-6.777770408,-6.418525455
2.349863,-7.401837947,-7.092706337,-6.931517053,-6.74874684,-6.39581324
2.449863,-7.36070906,-7.05221166,-6.8952684,-6.714126809,-6.348696065
2.549863,-7.346486778,-7.038370265,-6.878714942,-6.697508039,-6.338769846
2.649863,-7.316614528,-7.018426243,-6.852466074,-6.671218885,-6.314306608
2.749863,-7.279461483,-6.971580281,-6.810560595,-6.629080695,-6.264489081
2.849863,-7.211136982,-6.906832307,-6.748060459,-6.566565129,-6.202131839
2.949863,-7.231546519,-6.920880814,-6.762687544,-6.57871916,-6.224604486
3.049863,-7.210509442,-6.895299877,-6.738569581,-6.555616397,-6.203623322
3.149863,-7.161814441,-6.841954919,-6.681975254,-6.49852686,-6.131340515
3.249863,-7.093975721,-6.770294895,-6.615640799,-6.427945915,-6.075222309
3.349863,-7.113748506,-6.807114141,-6.648754969,-6.4650932,-6.096941387
3.449863,-7.048715016,-6.742887336,-6.582072058,-6.394304035,-6.042508997
3.549863,-7.012079009,-6.69873265,-6.537735254,-6.354793557,-5.993475135
3.649863,-7.011255285,-6.694227613,-6.535837093,-6.349373536,-5.999342655
3.749863,-6.981649381,-6.674895333,-6.518357785,-6.330556339,-5.972155244
3.849863,-7.013085396,-6.706273603,-6.547188637,-6.361564944,-6.003564924
3.949863,-6.970722362,-6.675399086,-6.517319073,-6.331526507,-5.965526581
4.049863,-6.98012035,-6.665213352,-6.508699721,-6.327136749,-5.966466577
4.149863,-6.98067352,-6.674360207,-6.511353372,-6.327496097,-5.971515171
4.249863,-6.977095814,-6.673435365,-6.51532086,-6.332606277,-5.968848378
4.349863,-6.931342153,-6.619737105,-6.464054678,-6.280522112,-5.917563414
4.449863,-6.909314351,-6.604651053,-6.439974409,-6.258279723,-5.912962948
4.549863,-6.913701104,-6.603003287,-6.444445726,-6.258679315,-5.908452966
4.649863,-6.963319311,-6.653301741,-6.489868735,-6.30702592,-5.949376021
4.749863,-6.941008039,-6.625801268,-6.471444889,-6.283710487,-5.925007849
4.849863,-7.041321332,-6.718945443,-6.554234391,-6.368705181,-6.003400596
4.949863,-7.165227595,-6.846327077,-6.689074795,-6.504179512,-6.152388471
5.049863,-7.183376821,-6.867782635,-6.711707837,-6.519817568,-6.170572156
5.149863,-7.065378717,-6.751658775,-6.594207528,-6.406802392,-6.048049795
5.249863,-7.044675638,-6.727485787,-6.56815177,-6.382816702,-6.024390379
5.349863,-6.892814709,-6.581337918,-6.419707338,-6.238645472,-5.879500058
5.449863,-6.922168144,-6.610489039,-6.450337482,-6.265907982,-5.908041446
5.549863,-6.91839834,-6.618794363,-6.463823101,-6.26872904,-5.918456341
5.649863,-6.883207066,-6.572144413,-6.418273131,-6.233599568,-5.8687556
5.749863,-7.001212574,-6.690946024,-6.535309564,-6.346572022,-5.984066056
5.849863,-7.020825549,-6.719202436,-6.562625704,-6.370316119,-6.011519846
5.949863,-7.050807643,-6.733517124,-6.578574027,-6.389750817,-6.040243071
6.049863,-7.016741713,-6.700555623,-6.539605845,-6.34843285,-5.992084388
6.149863,-6.994331224,-6.682331534,-6.525314633,-6.337651586,-5.979278299
6.249863,-6.960900913,-6.650513167,-6.489732161,-6.305502684,-5.948267205
6.349863,-7.046710187,-6.75160986,-6.591236458,-6.40195753,-6.045967149
6.449863,-7.018718245,-6.721855764,-6.563330744,-6.364886944,-6.002247133
6.549863,-7.068343169,-6.771780582,-6.606122919,-6.413500738,-6.055201658
6.649863,-6.964855173,-6.66750365,-6.509149392,-6.316984877,-5.95777581
6.749863,-6.86928651,-6.560887067,-6.406160428,-6.212563169,-5.857682488
6.849863,-6.804842229,-6.495792377,-6.338700577,-6.148468054,-5.790256673
6.949863,-6.720511285,-6.416234954,-6.264861917,-6.069677663,-5.701635823
7.049863,-6.613595813,-6.305245268,-6.142739751,-5.955210904,-5.600884029
7.149863,-6.483987466,-6.178788749,-6.018728499,-5.830547459,-5.453402172
7.249863,-6.365364857,-6.06601537,-5.904819136,-5.712947837,-5.343364681
7.349863,-6.313373732,-6.005811062,-5.839184933,-5.650524665,-5.290325596
7.449863,-6.255317873,-5.948833262,-5.780463856,-5.589029778,-5.22823964
7.549863,-6.170603379,-5.861041979,-5.690760587,-5.505136915,-5.135925792
7.649863,-6.112629769,-5.803094925,-5.639118768,-5.456091559,-5.090944565
7.749863,-6.105916964,-5.80075021,-5.640033487,-5.450616387,-5.088227061
7.849863,-6.154305732,-5.840576111,-5.678654061,-5.485438085,-5.12409335
7.949863,-6.141124249,-5.827611363,-5.673025538,-5.482246454,-5.13483773
8.049863,-6.080360171,-5.78325279,-5.618686072,-5.432207505,-5.083889361
8.149863,-6.028383845,-5.724763662,-5.564833666,-5.378623653,-5.018062643
8.249863,-6.008292037,-5.692928219,-5.531398528,-5.345860363,-4.989157076
8.349863,-6.013570335,-5.712103658,-5.554037152,-5.368431417,-4.994378036
8.449863,-5.971397478,-5.677580225,-5.514514607,-5.328120154,-4.968789438
8.549863,-5.927453319,-5.634397171,-5.476566299,-5.279395817,-4.936763071
8.649863,-6.015557423,-5.718023209,-5.556787562,-5.37109142,-5.010857056
8.749863,-6.127232031,-5.832576767,-5.67066157,-5.48792693,-5.134182172
8.849863,-6.118135501,-5.81649351,-5.660069117,-5.470942615,-5.10957131
8.949863,-6.083923764,-5.772325083,-5.61208143,-5.428632287,-5.062084112
9.049863,-6.099933909,-5.792701616,-5.636613081,-5.443643696,-5.081736582
9.149863,-6.110827166,-5.798774347,-5.638782617,-5.453970188,-5.091386258
9.249863,-6.134666572,-5.812756327,-5.653458917,-5.467006612,-5.106134625
9.349863,-6.17700073,-5.860734238,-5.69728728,-5.511064451,-5.158776304
9.449863,-6.212140615,-5.885374547,-5.722996738,-5.543800089,-5.176059381
9.549863,-6.183703703,-5.86281801,-5.706427495,-5.523434752,-5.156052995
9.649863,-6.193524421,-5.88273381,-5.72602074,-5.535319517,-5.180597956
9.749863,-6.221702393,-5.904594757,-5.739757255,-5.558415435,-5.202627684
9.849863,-6.233554468,-5.92536151,-5.759692114,-5.579955323,-5.226227967
9.949863,-6.204323672,-5.893247366,-5.731004283,-5.549134231,-5.184268949
10.049863,-6.104567067,-5.795453674,-5.631435981,-5.44739519,-5.085860965
10.149863,-6.04433032,-5.748141056,-5.587718034,-5.400993435,-5.029453001
10.249863,-6.018349939,-5.706581904,-5.539717736,-5.353599583,-4.993289654
10.349863,-5.999577573,-5.692073847,-5.529964583,-5.346066701,-4.988800807
10.449863,-6.009562332,-5.697097867,-5.536055656,-5.355493715,-5.001207738
10.549863,-6.065371968,-5.772006476,-5.60756946,-5.422208286,-5.077522076
10.649863,-6.194321588,-5.881019569,-5.717420878,-5.536030097,-5.186439278
10.749863,-6.317298499,-5.99679872,-5.833768446,-5.645672491,-5.292987937
10.849863,-6.204767074,-5.90210149,-5.741430895,-5.552324528,-5.193450993
10.949863,-6.155725057,-5.849879003,-5.697028497,-5.498908514,-5.141270919
11.049863,-6.059772998,-5.75708685,-5.597586804,-5.413498046,-5.039098688
11.149863,-6.015718815,-5.701789906,-5.543669995,-5.351657733,-4.998614772
11.249863,-6.037919861,-5.723966661,-5.561886036,-5.369563775,-5.013622036
11.349863,-6.054401074,-5.745749859,-5.58217887,-5.395677418,-5.023835538
11.449863,-5.934714989,-5.625739246,-5.471747656,-5.277196231,-4.913340047
11.549863,-5.862075532,-5.566146057,-5.402302017,-5.216880706,-4.854769611
11.649863,-5.924366046,-5.623681603,-5.463075252,-5.274960904,-4.911806979
11.749863,-5.951225669,-5.65083596,-5.482871584,-5.300768993,-4.941469632
11.849863,-5.981050203,-5.663048412,-5.509801589,-5.326181363,-4.953586175
11.949863,-5.84346007,-5.532071818,-5.374492299,-5.188512476,-4.812742206
12.049863,-5.91963683,-5.607312566,-5.451708633,-5.267570122,-4.895100242
12.149863,-5.915853131,-5.579988688,-5.428693314,-5.24228035,-4.876833987
12.249863,-5.855651876,-5.534599394,-5.373904536,-5.186737869,-4.823789717
12.349863,-5.785779488,-5.469528822,-5.311460471,-5.123266079,-4.764504094
12.449863,-5.727076754,-5.419383849,-5.260566108,-5.073669839,-4.713376942
12.549863,-5.710240418,-5.399575517,-5.239346243,-5.051446356,-4.687000694
12.649863,-5.767841718,-5.447607605,-5.288352898,-5.103593662,-4.747678264
12.749863,-5.767110073,-5.455694113,-5.292734551,-5.113240632,-4.749588996
12.849863,-5.819045874,-5.505777665,-5.34254087,-5.154415464,-4.796423516
12.949863,-5.671596392,-5.355085297,-5.196570808,-5.005733563,-4.645442741
13.049863,-5.551674346,-5.245989839,-5.084411324,-4.894664741,-4.535340003
13.149863,-5.495305987,-5.192096836,-5.028468825,-4.838250834,-4.480077793
13.249863,-5.433313649,-5.127213137,-4.964883383,-4.773591544,-4.413310715
13.349863,-5.34872116,-5.032564674,-4.868232616,-4.679428686,-4.315031015
13.449863,-5.329054833,-5.022467433,-4.859735731,-4.66896162,-4.310498608
13.549863,-5.284184013,-4.980438989,-4.820773568,-4.632653688,-4.283240922
13.649863,-5.157861058,-4.853842487,-4.684875067,-4.496440206,-4.133244117
13.749863,-5.142330097,-4.819164834,-4.655328702,-4.467689502,-4.095337075
13.849863,-5.250659113,-4.937581303,-4.782571352,-4.590809411,-4.228356437
13.949863,-5.287794356,-4.967310886,-4.809707653,-4.622076696,-4.262961106
14.049863,-5.218983252,-4.918750625,-4.759970431,-4.561018761,-4.201273672
14.149863,-5.231117825,-4.925102025,-4.764137849,-4.5712845,-4.201528341
14.249863,-5.218386962,-4.90812373,-4.750100999,-4.561558817,-4.190828601
14.349863,-5.218443844,-4.916766324,-4.751593294,-4.562011116,-4.192135526
14.449863,-5.155910025,-4.854282883,-4.688133757,-4.495128965,-4.122083091
14.549863,-5.1336067,-4.818642499,-4.660181454,-4.466841112,-4.102210503
14.649863,-5.072712264,-4.772805893,-4.611897753,-4.419739097,-4.056245723
14.749863,-5.142414648,-4.839517915,-4.668076014,-4.486112734,-4.109111989
14.849863,-5.199922202,-4.893230312,-4.734555512,-4.548198314,-4.164116059
14.949863,-5.222333657,-4.911046442,-4.746216598,-4.558413315,-4.181383675
15.049863,-5.250413741,-4.943121222,-4.776334205,-4.589423298,-4.214840105
15.149863,-5.219907841,-4.904059081,-4.746165299,-4.552604452,-4.174715652
15.249863,-5.182087875,-4.863169882,-4.698283134,-4.508738968,-4.147124821
15.349863,-5.178720446,-4.858976935,-4.699451962,-4.504950105,-4.14220062
15.449863,-5.182064936,-4.875431494,-4.710965924,-4.521115529,-4.164046779
15.549863,-5.270511467,-4.964712809,-4.800881148,-4.607211492,-4.253356879
15.649863,-5.227839621,-4.916595544,-4.751093412,-4.558294649,-4.203942398
15.749863,-5.204688196,-4.883260523,-4.71469448,-4.521750534,-4.162522257
15.849863,-5.182585903,-4.869638135,-4.704184264,-4.51348083,-4.153341139
15.949863,-5.197396427,-4.892424097,-4.728051344,-4.538439327,-4.176009375
16.049863,-5.203170035,-4.886069436,-4.726019183,-4.528536038,-4.171833103
16.149863,-5.266430589,-4.959339423,-4.800799725,-4.603588897,-4.237967364
16.249863,-5.386448036,-5.071234123,-4.904477628,-4.710128504,-4.347683767
16.349863,-5.504732188,-5.1801882,-5.021142591,-4.829350969,-4.458218269
16.449863,-5.53922784,-5.222354806,-5.06097772,-4.86843228,-4.508014683
16.549863,-5.533253341,-5.226040074,-5.06288851,-4.86754158,-4.505011395
16.649863,-5.602552045,-5.286405179,-5.127713449,-4.93912176,-4.557268155
16.749863,-5.763016023,-5.454719893,-5.297462448,-5.105397471,-4.746072335
16.849863,-5.832236056,-5.534263692,-5.36871587,-5.17597703,-4.80619235
16.949863,-5.81165178,-5.511491675,-5.346050337,-5.157173818,-4.794384431
17.049863,-5.816222232,-5.508033271,-5.342686982,-5.156402572,-4.790197998
17.149863,-5.812435415,-5.495663035,-5.332845489,-5.149515612,-4.794177601
17.249863,-5.869386888,-5.552132497,-5.385442164,-5.199712647,-4.844071065
17.349863,-5.895632697,-5.57598832,-5.414004257,-5.220823706,-4.857699907
17.449863,-5.91273112,-5.607080459,-5.443328184,-5.259636703,-4.889709062
17.549863,-5.965175363,-5.654535207,-5.496578175,-5.303162853,-4.941263917
17.649863,-6.009995524,-5.692129509,-5.537431658,-5.348785478,-4.993292809
17.749863,-5.929708215,-5.629156573,-5.469531676,-5.282414754,-4.926756332
17.849863,-5.965535729,-5.673406074,-5.512455424,-5.32066047,-4.968882691
17.949863,-6.037240865,-5.722720906,-5.553616456,-5.366513312,-5.01178777
18.049863,-6.035476247,-5.735356622,-5.575039264,-5.38202931,-5.025740317
18.149863,-6.011550933,-5.694064403,-5.531888781,-5.345133266,-4.986820768
18.249863,-5.978326577,-5.665462173,-5.50412005,-5.318243963,-4.962651222
18.349863,-5.93899999,-5.626306367,-5.464021972,-5.279885754,-4.921326782
18.449863,-5.974032775,-5.654900838,-5.491625574,-5.303466117,-4.951101488
18.549863,-5.924638049,-5.614435966,-5.4498295,-5.268255802,-4.913201436
18.649863,-5.977258564,-5.659476286,-5.495977536,-5.306782606,-4.948624367
18.749863,-6.026977481,-5.713205752,-5.550860191,-5.361611889,-5.003843124
18.849863,-5.974755477,-5.659461802,-5.500012437,-5.31380533,-4.942313698
18.949863,-5.945927279,-5.634723371,-5.472936141,-5.288637666,-4.922739168
19.049863,-5.967716222,-5.656807462,-5.496943323,-5.312790651,-4.943948195
19.149863,-5.908347495,-5.590504837,-5.427604254,-5.238795222,-4.871648753
19.249863,-5.868275248,-5.552132353,-5.392522323,-5.202867713,-4.843153342
19.349863,-5.795607542,-5.472284927,-5.310025367,-5.124032562,-4.763469965
19.449863,-5.811512116,-5.497741078,-5.33261233,-5.146749042,-4.791334579
19.549863,-5.889498216,-5.581304883,-5.421208715,-5.231253361,-4.865426864
19.649863,-5.942067117,-5.636588682,-5.473390617,-5.284582223,-4.927388188
19.749863,-5.90504504,-5.58779382,-5.431386835,-5.238621187,-4.878358288
19.849863,-5.882356079,-5.566163024,-5.402271016,-5.212179455,-4.848505056
19.949863,-6.002950726,-5.684850634,-5.519215344,-5.329883763,-4.960781893
20.049863,-6.045774852,-5.732445964,-5.56763089,-5.381940827,-5.017303805
20.149863,-6.059174681,-5.755279275,-5.593432274,-5.406241554,-5.044168876
20.249863,-6.059324915,-5.739684277,-5.581136609,-5.393058321,-5.030171527
20.349863,-6.065903888,-5.754013035,-5.591345746,-5.398382154,-5.044334554
20.449863,-6.064596982,-5.760983413,-5.600836038,-5.410559259,-5.055458001
20.549863,-6.014264868,-5.691335398,-5.528984663,-5.340148086,-4.981880769
20.649863,-6.013435434,-5.704894377,-5.539356411,-5.35331706,-4.998203124
20.749863,-6.073474368,-5.766214458,-5.599566274,-5.418014517,-5.049308878
20.849863,-6.14341546,-5.827761114,-5.663520366,-5.476033711,-5.117880826
20.949863,-6.089480743,-5.783912408,-5.625531377,-5.440689867,-5.077279716
21.049863,-6.086387397,-5.769776901,-5.604856284,-5.422540024,-5.055588904
21.149863,-6.158687582,-5.835442544,-5.675269279,-5.486449992,-5.127661599
21.249863,-6.221932043,-5.904720491,-5.742936213,-5.563320916,-5.205160031
21.349863,-6.172700174,-5.857429119,-5.69574162,-5.503708759,-5.142826078
21.449863,-6.127925242,-5.812920805,-5.658397063,-5.461105275,-5.107870965
21.549863,-6.181482874,-5.862915303,-5.702579401,-5.507636629,-5.153544793
21.649863,-6.172200442,-5.857769078,-5.692310603,-5.500772771,-5.145580218
21.749863,-6.128601905,-5.812303318,-5.654844524,-5.456918684,-5.095707365
21.849863,-5.957516831,-5.644590775,-5.488039892,-5.291067414,-4.939954058
21.949863,-5.90431788,-5.593601867,-5.429177456,-5.237402777,-4.884435589
22.049863,-5.994832705,-5.674408129,-5.511647312,-5.321242406,-4.966631682
22.149863,-5.927421,-5.625392265,-5.465636448,-5.27863438,-4.911283702
22.249863,-5.95861598,-5.652863128,-5.494031939,-5.304006927,-4.930015464
22.349863,-5.944641858,-5.625697244,-5.460851951,-5.273870101,-4.913560781
22.449863,-5.89932449,-5.592341697,-5.428166277,-5.237652263,-4.871510395
22.549863,-5.925108545,-5.616875569,-5.455990778,-5.265843178,-4.904649415
22.649863,-5.924004452,-5.621726662,-5.455852048,-5.263428681,-4.898816907
22.749863,-5.952905195,-5.636449064,-5.477099564,-5.281115044,-4.905613714
22.849863,-5.963018,-5.650137795,-5.483507266,-5.300709915,-4.926643517
22.949863,-5.959040473,-5.63730559,-5.479147883,-5.287905642,-4.922261816
23.049863,-6.007182276,-5.684996152,-5.528188111,-5.343190482,-4.973705265
23.149863,-6.183617162,-5.879095196,-5.715137748,-5.536424845,-5.153737558
23.249863,-6.316758666,-6.01941775,-5.86011041,-5.67104592,-5.310940229
23.349863,-6.326246549,-6.027946883,-5.864625146,-5.681818058,-5.322297163
23.449863,-6.233195772,-5.937184229,-5.769177393,-5.592429749,-5.223956181
23.549863,-6.283030677,-5.986023749,-5.818281308,-5.638213177,-5.276992281
23.649863,-6.375951355,-6.075608649,-5.913138051,-5.725724038,-5.371234806
23.749863,-6.474354655,-6.165939699,-6.008479253,-5.824383165,-5.457618894
23.849863,-6.448687332,-6.129150782,-5.973267444,-5.78570606,-5.414768299
23.949863,-6.46138792,-6.161453454,-5.999701035,-5.810505763,-5.452883425
24.049863,-6.539653272,-6.235637155,-6.075678948,-5.886094852,-5.535901028
24.149863,-6.546271084,-6.240811194,-6.081176567,-5.898177389,-5.541532917
24.249863,-6.557386906,-6.247849702,-6.083658237,-5.897460325,-5.540267295
24.349863,-6.481488252,-6.176872077,-6.021535915,-5.831835236,-5.467918813
24.449863,-6.514198501,-6.201557006,-6.036576707,-5.855534584,-5.488298482
24.549863,-6.541571468,-6.212450707,-6.051342761,-5.870406886,-5.512261017
24.649863,-6.522807676,-6.203568761,-6.034737146,-5.85304034,-5.48988945
24.749863,-6.542568111,-6.223667216,-6.061613607,-5.878104378,-5.503532726
24.849863,-6.623397153,-6.304836061,-6.144122001,-5.955954725,-5.597801297
24.949863,-6.675842789,-6.365043165,-6.202512707,-6.022784612,-5.663083437
25.049863,-6.759542385,-6.442980542,-6.275302471,-6.100407599,-5.736450427
25.149863,-6.687812375,-6.386941302,-6.217352955,-6.035038201,-5.669736849
25.249863,-6.698737424,-6.399574925,-6.23974194,-6.054776905,-5.690922815
25.349863,-6.720702655,-6.418018185,-6.253621562,-6.066392109,-5.705572139
25.449863,-6.65691065,-6.353755299,-6.193336594,-6.010957601,-5.637549749
25.549863,-6.536992733,-6.216059542,-6.057654844,-5.866259283,-5.500187673
25.649863,-6.517722721,-6.207099017,-6.045439827,-5.864305464,-5.493942119
25.749863,-6.480385913,-6.177044765,-6.023633735,-5.833397715,-5.455681346
25.849863,-6.485489662,-6.180949979,-6.021859339,-5.829295068,-5.46300032
25.949863,-6.532448186,-6.22824088,-6.069280122,-5.878458819,-5.498827348
26.049863,-6.510934838,-6.204824568,-6.045535887,-5.850728412,-5.485425198
26.149863,-6.509226008,-6.207196421,-6.046281515,-5.858860985,-5.487439283
26.249863,-6.518030305,-6.198662679,-6.044592714,-5.857851874,-5.486417027
26.349863,-6.491535174,-6.189186639,-6.031451269,-5.845735,-5.475270699
26.449863,-6.4929059,-6.175567067,-6.01940223,-5.82959589,-5.470814093
26.549863,-6.459964682,-6.14007459,-5.986158432,-5.796081386,-5.441897931
26.649863,-6.472275942,-6.160453331,-6.001037143,-5.810219938,-5.451471756
26.749863,-6.447722071,-6.139735807,-5.983227167,-5.797201786,-5.430655765
26.849863,-6.500703823,-6.18629805,-6.025515639,-5.840859182,-5.470125162
26.949863,-6.538047774,-6.229328885,-6.071589026,-5.889359614,-5.518438881
27.049863,-6.612414967,-6.302761635,-6.141959889,-5.963508113,-5.589536084
27.149863,-6.586637725,-6.272494443,-6.114981857,-5.92933312,-5.566333552
27.249863,-6.624133403,-6.314138471,-6.152067393,-5.969006964,-5.612505299
27.349863,-6.62308917,-6.303140209,-6.145974127,-5.958359764,-5.589709002
27.449863,-6.601038761,-6.287568198,-6.125210949,-5.946776028,-5.581048623
27.549863,-6.487911118,-6.178453091,-6.016107199,-5.831882084,-5.470869248
27.649863,-6.500845436,-6.194260449,-6.035805164,-5.847661988,-5.480075549
27.749863,-6.475653751,-6.170044025,-6.010359819,-5.820663211,-5.449232099
27.849863,-6.448214492,-6.140358755,-5.988285935,-5.798397289,-5.432089328
27.949863,-6.501305082,-6.189209166,-6.032974912,-5.852025546,-5.479392079
28.049863,-6.598096706,-6.280934837,-6.12155429,-5.931276156,-5.564771227
28.149863,-6.62575149,-6.324072644,-6.162475629,-5.976348315,-5.6121126
28.249863,-6.578130243,-6.271132442,-6.108258763,-5.924749935,-5.566325708
28.349863,-6.547556385,-6.237858052,-6.0792319,-5.893014613,-5.529127298
28.449863,-6.575257531,-6.275801779,-6.114510403,-5.929585348,-5.566671039
28.549863,-6.605834608,-6.301743291,-6.142750316,-5.950001494,-5.589227544
28.649863,-6.572631877,-6.27548785,-6.113881251,-5.927748058,-5.554428677
28.749863,-6.480574399,-6.174722102,-6.012400187,-5.823025393,-5.455900665
28.849863,-6.418372187,-6.117563664,-5.953265618,-5.761740933,-5.406391647
28.949863,-6.38482483,-6.070372376,-5.90775971,-5.721622245,-5.357863033
29.049863,-6.36073958,-6.064392717,-5.903012873,-5.714889392,-5.346463225
29.149863,-6.371714744,-6.069354815,-5.91374572,-5.721210828,-5.358727557
29.249863,-6.344818133,-6.041650022,-5.882612819,-5.691386049,-5.333655657
29.349863,-6.371164466,-6.055007734,-5.90118907,-5.709336499,-5.34317313
29.449863,-6.305308469,-5.994268402,-5.831513949,-5.642019842,-5.288053739
29.549863,-6.27811106,-5.974618229,-5.804055744,-5.620056219,-5.262238177
29.649863,-6.242721567,-5.930321164,-5.761986085,-5.582291892,-5.216206403
29.749863,-6.294161689,-5.974749478,-5.810827319,-5.615320237,-5.265767669
29.849863,-6.324153286,-6.006624287,-5.840606021,-5.649096112,-5.287430685
29.949863,-6.261527931,-5.948047577,-5.787466714,-5.597452988,-5.237868851
30.049863,-6.200045672,-5.884902234,-5.719630858,-5.531137399,-5.169816619
30.149863,-6.163462852,-5.852691045,-5.692126515,-5.504536032,-5.141906775
30.249863,-6.188035212,-5.891276742,-5.723005781,-5.537398498,-5.176213232
30.349863,-6.233080113,-5.92702687,-5.761863684,-5.571484128,-5.215065162
30.449863,-6.285134264,-5.981111944,-5.818334079,-5.633460349,-5.264749394
30.549863,-6.169936466,-5.863266981,-5.701171044,-5.509913679,-5.14494216
30.649863,-6.111990955,-5.808564947,-5.640235172,-5.450848094,-5.091197344
30.749863,-6.04286604,-5.726609683,-5.564899598,-5.380105623,-5.002783416
30.849863,-6.002218575,-5.685755414,-5.520438238,-5.32762313,-4.967022806
30.949863,-5.956285787,-5.656111838,-5.491989458,-5.298265866,-4.941731591
31.049863,-5.975684798,-5.654742265,-5.490333924,-5.297085268,-4.940935669
31.149863,-5.979495692,-5.669125644,-5.509733717,-5.316404277,-4.952234452
31.249863,-6.011202095,-5.688127084,-5.528156889,-5.33963834,-4.970809321
31.349863,-6.097215507,-5.788878706,-5.621877306,-5.438237171,-5.06359621
31.449863,-6.094109544,-5.791194698,-5.631709008,-5.443348484,-5.080123852
31.549863,-6.05437057,-5.742859525,-5.581772163,-5.389930887,-5.028708217
31.649863,-6.079015093,-5.765210957,-5.602400386,-5.411407017,-5.054542904
31.749863,-6.128616338,-5.829486186,-5.659971814,-5.473837233,-5.101869882
31.849863,-6.151367485,-5.843807143,-5.677882607,-5.491746109,-5.118065165
31.949863,-6.127970044,-5.814725383,-5.648297255,-5.465553367,-5.089744075
32.049863,-6.132653159,-5.815992224,-5.648550054,-5.465529695,-5.102194773
32.149863,-6.152626307,-5.835912599,-5.673144458,-5.486377093,-5.120017976
32.249863,-6.091838395,-5.798463045,-5.634710865,-5.447232316,-5.078867306
32.349863,-6.043504359,-5.750443312,-5.583621534,-5.400072048,-5.037295307
32.449863,-5.988452574,-5.691607495,-5.521202827,-5.333576028,-4.970591874
32.549863,-5.964200136,-5.663910212,-5.498437005,-5.315335512,-4.952063299
32.649863,-5.896887168,-5.59109703,-5.423807829,-5.240712339,-4.875989136
32.749863,-5.894580049,-5.577240148,-5.414490081,-5.232785274,-4.874749484
32.849863,-5.865922736,-5.565305982,-5.40268112,-5.212988436,-4.852119845
32.949863,-5.907863743,-5.595269527,-5.4326786,-5.243301844,-4.879011494
